2018-05-18,6,GLEN,CAST,1
2018-05-18,12,SFIA,SHAY,1
2018-05-18,18,UCTY,ASHB,3
2018-05-19,8,CIVC,LAFY,3
2018-05-19,15,DELN,WCRK,2
2018-05-19,22,MLBR,PLZA,1
2018-05-20,13,DELN,DUBL,1
2018-05-20,20,MONT,PLZA,7
2018-05-21,8,ROCK,EMBR,314
2018-05-21,15,HAYW,PLZA,2
2018-05-21,21,POWL,GLEN,60
2018-05-22,9,HAYW,FRMT,12
2018-05-22,16,BALB,SANL,11
2018-05-22,22,FTVL,WCRK,2
2018-05-23,9,UCTY,DUBL,4
2018-05-23,16,MCAR,WCRK,22
2018-05-23,23,16TH,PITT,2
2018-05-24,10,DBRK,EMBR,85
2018-05-24,16,UCTY,OAKL,1
2018-05-24,23,POWL,PLZA,21
2018-05-25,11,12TH,MLBR,2
2018-05-25,17,EMBR,RICH,59
2018-05-26,0,HAYW,FTVL,2
2018-05-26,13,PITT,NBRK,1
2018-05-26,20,RICH,POWL,1
2018-05-27,12,DELN,ROCK,1
2018-05-27,19,ROCK,NBRK,1
2018-05-28,11,SBRN,SFIA,2
2018-05-28,19,DALY,24TH,4
2018-05-29,7,PITT,RICH,4
2018-05-29,14,16TH,SSAN,4
2018-05-29,19,SSAN,ASHB,3
2018-05-30,7,PITT,WOAK,5
2018-05-30,14,16TH,DUBL,3
2018-05-30,19,SFIA,BALB,3
2018-05-31,7,NBRK,MCAR,12
2018-05-31,13,UCTY,MONT,4
2018-05-31,19,PHIL,SBRN,1
2018-06-01,7,FRMT,DBRK,12
2018-06-01,13,OAKL,DALY,1
2018-06-01,19,DELN,ANTC,2
2018-06-02,8,DUBL,WDUB,1
2018-06-02,15,DELN,EMBR,27
2018-06-02,22,FTVL,SHAY,1
2018-06-03,13,PITT,BALB,1
2018-06-03,20,UCTY,16TH,1
2018-06-04,8,PITT,MCAR,29
2018-06-04,15,BAYF,CAST,4
2018-06-04,21,ANTC,PHIL,1
2018-06-05,8,PLZA,ASHB,16
2018-06-05,15,BAYF,COLS,13
2018-06-05,20,WDUB,DBRK,1
2018-06-06,8,MCAR,WARM,3
2018-06-06,14,WOAK,SFIA,10
2018-06-06,20,POWL,SBRN,18
2018-06-07,8,DELN,SHAY,5
2018-06-07,14,OAKL,WDUB,6
2018-06-07,20,DUBL,CIVC,5
2018-06-08,8,12TH,MLBR,11
2018-06-08,14,DALY,SFIA,10
2018-06-08,19,WDUB,12TH,2
2018-06-09,9,DALY,EMBR,37
2018-06-09,16,24TH,CIVC,43
2018-06-09,23,EMBR,FRMT,9
2018-06-10,14,GLEN,BAYF,3
2018-06-10,21,PITT,NCON,1
2018-06-11,9,DELN,ASHB,6
2018-06-11,15,UCTY,UCTY,5
2018-06-11,22,12TH,LAKE,1
2018-06-12,9,DUBL,ROCK,1
2018-06-12,15,SBRN,ASHB,1
2018-06-12,21,SANL,EMBR,1
2018-06-13,9,ASHB,GLEN,1
2018-06-13,15,MONT,COLS,30
2018-06-13,21,HAYW,ANTC,1
2018-06-14,8,ROCK,SANL,3
2018-06-14,15,CIVC,DUBL,47
2018-06-14,20,WCRK,BAYF,3
2018-06-15,8,HAYW,FRMT,26
2018-06-15,14,SANL,WARM,1
2018-06-15,20,HAYW,WOAK,2
2018-06-16,9,SFIA,PHIL,2
2018-06-16,16,OAKL,CIVC,3
2018-06-17,0,DELN,WARM,1
2018-06-17,15,16TH,ASHB,3
2018-06-17,22,FTVL,DUBL,2
2018-06-18,9,SANL,CAST,1
2018-06-18,16,PLZA,SANL,1
2018-06-18,23,ASHB,UCTY,1
2018-06-19,10,CIVC,OAKL,9
2018-06-19,16,ORIN,ROCK,6
2018-06-19,22,WCRK,SFIA,2
2018-06-20,9,WOAK,SSAN,1
